,C,HW,K,RS
965,256,64,128,3
966,256,64,128,5
967,256,64,128,1
968,256,64,128,11
969,256,64,128,7
970,256,64,255,3
971,256,64,255,5
972,256,64,255,1
973,256,64,255,11
974,256,64,255,7
975,256,64,1024,3
976,256,64,1024,5
977,256,64,1024,1
978,256,64,1024,11
979,256,64,1024,7
980,256,64,96,3
981,256,64,96,5
982,256,64,96,1
983,256,64,96,11
984,256,64,96,7
985,256,64,6,3
986,256,64,6,5
987,256,64,6,1
988,256,64,6,11
989,256,64,6,7
990,256,64,28,3
991,256,64,28,5
992,256,64,28,1
993,256,64,28,11
994,256,64,28,7
995,256,64,192,3
996,256,64,192,5
997,256,64,192,1
998,256,64,192,11
999,256,64,192,7
1000,256,64,9,3
1001,256,64,9,5
1002,256,64,9,1
1003,256,64,9,11
1004,256,64,9,7
1005,256,64,12,3
1006,256,64,12,5
1007,256,64,12,1
1008,256,64,12,11
1009,256,64,12,7
1010,256,64,56,3
1011,256,64,56,5
1012,256,64,56,1
1013,256,64,56,11
1014,256,64,56,7
1015,256,64,3,3
1016,256,64,3,5
1017,256,64,3,1
1018,256,64,3,11
1019,256,64,3,7
1020,256,70,512,3
1021,256,70,512,5
1022,256,70,512,1
1023,256,70,512,11
1024,256,70,512,7
1025,256,70,16,3
1026,256,70,16,5
1027,256,70,16,1
1028,256,70,16,11
1029,256,70,16,7
1030,256,70,32,3
1031,256,70,32,5
1032,256,70,32,1
1033,256,70,32,11
1034,256,70,32,7
1035,256,70,64,3
1036,256,70,64,5
1037,256,70,64,1
1038,256,70,64,11
1039,256,70,64,7
1040,256,70,384,3
1041,256,70,384,5
1042,256,70,384,1
1043,256,70,384,11
1044,256,70,384,7
1045,256,70,256,3
1046,256,70,256,5
1047,256,70,256,1
1048,256,70,256,11
1049,256,70,256,7
1050,256,70,128,3
1051,256,70,128,5
1052,256,70,128,1
1053,256,70,128,11
1054,256,70,128,7
1055,256,70,255,3
1056,256,70,255,5
1057,256,70,255,1
1058,256,70,255,11
1059,256,70,255,7
1060,256,70,1024,3
1061,256,70,1024,5
1062,256,70,1024,1
1063,256,70,1024,11
1064,256,70,1024,7
1065,256,70,96,3
1066,256,70,96,5
1067,256,70,96,1
1068,256,70,96,11
1069,256,70,96,7
1070,256,70,6,3
1071,256,70,6,5
1072,256,70,6,1
1073,256,70,6,11
1074,256,70,6,7
1075,256,70,28,3
1076,256,70,28,5
1077,256,70,28,1
1078,256,70,28,11
1079,256,70,28,7
1080,256,70,192,3
1081,256,70,192,5
1082,256,70,192,1
1083,256,70,192,11
1084,256,70,192,7
1085,256,70,9,3
1086,256,70,9,5
1087,256,70,9,1
1088,256,70,9,11
1089,256,70,9,7
1090,256,70,12,3
1091,256,70,12,5
1092,256,70,12,1
1093,256,70,12,11
1094,256,70,12,7
1095,256,70,56,3
1096,256,70,56,5
1097,256,70,56,1
1098,256,70,56,11
1099,256,70,56,7
1100,256,70,3,3
1101,256,70,3,5
1102,256,70,3,1
1103,256,70,3,11
1104,256,70,3,7
1105,256,104,512,3
1106,256,104,512,5
1107,256,104,512,1
1108,256,104,512,11
1109,256,104,512,7
1110,256,104,16,3
1111,256,104,16,5
1112,256,104,16,1
1113,256,104,16,11
1114,256,104,16,7
1115,256,104,32,3
1116,256,104,32,5
1117,256,104,32,1
1118,256,104,32,11
1119,256,104,32,7
1120,256,104,64,3
1121,256,104,64,5
1122,256,104,64,1
1123,256,104,64,11
1124,256,104,64,7
1125,256,104,384,3
1126,256,104,384,5
1127,256,104,384,1
1128,256,104,384,11
1129,256,104,384,7
1130,256,104,256,3
1131,256,104,256,5
1132,256,104,256,1
1133,256,104,256,11
1134,256,104,256,7
1135,256,104,128,3
1136,256,104,128,5
1137,256,104,128,1
1138,256,104,128,11
1139,256,104,128,7
1140,256,104,255,3
1141,256,104,255,5
1142,256,104,255,1
1143,256,104,255,11
1144,256,104,255,7
1145,256,104,1024,3
1146,256,104,1024,5
1147,256,104,1024,1
1148,256,104,1024,11
